acid,epoxide,tg_md
Cc1cc(N2C(=O)c3ccc(C(=O)O)cc3C2=O)ccc1N1C(=O)c2ccc(C(=O)O)cc2C1=O,Nc1ccc(C(=O)Nc2cccc3ccc(OCC4CO4)cc23)c(OCC2CO2)c1,524.0348
O=C(O)CCN(CCC(=O)O)C(=O)C(=O)Nc1ccc2c(c1)C(=O)CCC2,NC(=O)c1ccc(NC(=O)Cn2c(=O)n(CC3CO3)c(=O)n(CC3CO3)c2=O)cc1,510.2052
O=C(Nc1cc(NC(=O)c2ccccc2)c(C(=O)O)cc1C(=O)O)c1ccccc1,COC(=O)c1ccc2c(c1)CN(C(=O)Nc1ccc(C(=O)N(CC3CO3)CC3CO3)cc1)CC2,564.2864
Cc1ccc(N2C(=O)c3ccc(C(=O)Nc4cc(C(=O)O)cc(C(=O)O)c4)cc3C2=O)c(C)c1,N#Cc1cc(OCC2CO2)cc(C(=O)Nc2ncccc2OCC2CO2)c1,545.2370
O=C(O)CCn1c(=O)n(CCC(=O)O)c(=O)n(CC(=O)c2ccc3c(c2)OCO3)c1=O,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)c1ccccc1O,529.1446
CC1(C(=O)O)CCN(C(=O)c2ccc(C(=O)O)nc2)CC1,O=C(Cn1c(=O)n(CC2CO2)c(=O)n(CC2CO2)c1=O)Nc1cccc(Oc2ccccc2)c1,538.8419
CC(C)(C)N1C(=O)c2ccc(C(=O)Nc3cc(C(=O)O)cc(C(=O)O)c3)cc2C1=O,Cc1cccc(NC(=O)c2cccc(C(=O)Nc3cccc(C)c3OCC3CO3)c2)c1OCC1CO1,524.3981
O=C(O)CCn1c(=O)n(CCC(=O)O)c(=O)n(CC(=O)Nc2ccc(N3CCCCC3)cc2)c1=O,Cc1nc(C(=O)N(C)C)ccc1C(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,555.4724
CC(C)(C)c1ccc(OCC(=O)Nc2cc(C(=O)O)cc(C(=O)O)c2)cc1,O=C(Cn1c(=O)n(CC2CO2)c(=O)n(CC2CO2)c1=O)Nc1cccc(C(=O)O)c1,537.1075
O=C(O)c1ccc2c(c1)C(=O)N(c1ccc(N3C(=O)c4ccc(C(=O)O)cc4C3=O)cc1)C2=O,CC(C)C(=O)NCCN(C)C(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,495.7656
Cc1ccc(NC(=O)c2cccc(C(=O)Nc3ccc(C)cc3C(=O)O)c2)c(C(=O)O)c1,NC(=O)c1cccc(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)c1,558.1228
CC(=O)c1cccc(NC(=O)Cn2c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c2=O)c1,Cc1ccc(C(=O)Nc2ccc(NC(=O)c3ccco3)cc2)c(OCC2CO2)c1OCC1CO1,563.4451
O=C(O)CCn1c(=O)n(CCC(=O)O)c(=O)n(CC(=O)Nc2ccc3c(c2)OCCO3)c1=O,NC(=O)Nc1cccc(NC(=O)c2ccc3ccc(OCC4CO4)cc3c2OCC2CO2)c1,552.2951
O=C(O)c1cc(NC(=O)c2ccc3c(c2)C(=O)N(N2C(=O)c4ccccc4C2=O)C3=O)cc(C(=O)O)c1,COc1ccccc1NC(=O)CN1CCN(C(=O)c2ccc(OCC3CO3)cc2OCC2CO2)CC1,496.1371
CC(=O)Nc1cccc(NC(=O)Cn2c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c2=O)c1,Cc1ccc(NC(=O)CN(C)C(=O)C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cc1,544.3618
O=C(O)c1cc(NC(=O)c2ccc3c(c2)C(=O)N(N2C(=O)c4ccccc4C2=O)C3=O)cc(C(=O)O)c1,O=C(NCc1ccc(OCC2CO2)c(OCC2CO2)c1)c1cncc2ccccc12,515.5498
O=C(O)c1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccc(C(=O)O)cc2)C3=O)cc1,Cc1cccc(C(=O)NC2CCN(C(=O)C(=O)N(CC3CO3)CC3CO3)CC2)c1,525.6360
Cc1ccccc1CN(C)C(=O)Cn1c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c1=O,CC(=O)c1ccc(NC(=O)CCn2c(=O)n(CC3CO3)c(=O)n(CC3CO3)c2=O)cc1,524.6458
CC(=O)Nc1ccc(NC(=O)Cn2c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c2=O)cc1,CN(C)C(=O)Cc1ccc(NC(=O)C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cc1,515.6578
O=C(O)CCn1c(=O)n(CCC(=O)O)c(=O)n(CC(=O)Nc2cccc(N3CCCC3=O)c2)c1=O,O=C(NCC1CO1)Nc1ccc(NC(=O)c2ccccc2OCC2CO2)cc1,495.5538
O=C(O)c1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccc(C(=O)O)cc2)C3=O)cc1,O=C(Nc1cccnc1OCc1ccccc1)N(CC1CO1)CC1CO1,536.0727
CC(C)(C)C(=O)Nc1ccc(C(=O)Cn2c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c2=O)cc1,Cc1cc(C)c(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cc1C=O,571.3873
CN(C)c1ccc(NC(=O)CCn2c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c2=O)cc1,O=C(Nc1cccc(N2C(=O)c3ccccc3C2=O)c1)c1cccc(OCC2CO2)c1OCC1CO1,525.4591
